scorer,JSM,JSM,JSM,JSM,JSM,JSM
bodyparts,PinkBall,PinkBall,GreenBall,GreenBall,RedBall,RedBall
coords,x,y,x,y,x,y
labeled-data\sesh_21-05-31_111833_synced_Cam1\img018.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam1\img053.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam1\img101.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam1\img104.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam1\img107.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam1\img112.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam1\img212.png,230.56936113214158,335.84383553666066,144.84342787257594,386.1612311455361,88.93521052938092,154.14212917127713
labeled-data\sesh_21-05-31_111833_synced_Cam1\img316.png,166.2749111874674,312.5487449769961,197.95623434861102,178.36902335332832,91.73062139654076,390.82024925746896
labeled-data\sesh_21-05-31_111833_synced_Cam1\img390.png,274.3641313843108,175.57361248616849,181.1837691456526,406.6609108380409,242.68280822316694,304.1625123755168
labeled-data\sesh_21-05-31_111833_synced_Cam1\img474.png,239.88739735600723,495.1822549647662,,,301.3864364335217,590.2262244481975
labeled-data\sesh_21-05-31_111833_synced_Cam2\img020.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam2\img174.png,60.98110185778353,218.4365791159513,60.98110185778353,236.14084794129633,159.75228583076125,203.527721157766
labeled-data\sesh_21-05-31_111833_synced_Cam2\img176.png,56.32208374585059,217.5047754935647,59.11749461301031,235.20904431890978,164.4113039426942,205.3913284025391
labeled-data\sesh_21-05-31_111833_synced_Cam2\img182.png,29.29977869663969,246.39068778754876,45.14044027721161,245.45888416516215,186.77459087997215,217.5047754935647
labeled-data\sesh_21-05-31_111833_synced_Cam2\img225.png,90.79881777415414,262.2313493681207,142.0480170054161,239.86806243084266,54.45847650107737,406.6609108380409
labeled-data\sesh_21-05-31_111833_synced_Cam2\img239.png,89.86701415176753,406.6609108380409,106.63947935472606,332.1166210471143,117.82112282336504,202.59591753537939
labeled-data\sesh_21-05-31_111833_synced_Cam2\img301.png,125.2755518024577,210.98215013685865,97.32144313086019,399.2064818589482,183.04737639042582,168.11918350707583
labeled-data\sesh_21-05-31_111833_synced_Cam2\img324.png,82.41258517267488,235.20904431890978,163.47950032030758,333.0484246695009,40.48142216527867,253.8451167666414
labeled-data\sesh_21-05-31_111833_synced_Cam2\img416.png,97.32144313086019,326.5257993127948,156.95687496360142,423.43337604099935,101.04865762040652,286.4582435501718
labeled-data\sesh_21-05-31_111833_synced_Cam2\img438.png,,,129.00276629200403,286.4582435501718,200.75164521577085,536.1816143497758
labeled-data\sesh_21-05-31_111833_synced_Cam3\img072.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam3\img136.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam3\img182.png,101.98046124279313,97.30210820569562,114.09390833381872,115.00637703104064,276.227738629084,131.77884223399917
labeled-data\sesh_21-05-31_111833_synced_Cam3\img295.png,223.1149321530488,80.52964300273709,205.4106633277038,211.91395375924526,317.2270980140937,267.82217110244017
labeled-data\sesh_21-05-31_111833_synced_Cam3\img319.png,241.75100460078045,169.98279075184905,291.1365965872693,140.16507483547844,116.88931920097843,327.4576029351814
labeled-data\sesh_21-05-31_111833_synced_Cam3\img336.png,144.84342787257594,209.11854289208543,201.68344883815746,164.3919690175295,327.4769378603461,224.0274008502708
labeled-data\sesh_21-05-31_111833_synced_Cam3\img341.png,206.34246695009028,82.39325024751031,170.93392929940023,223.09559722788418,280.88675674101694,349.82088987245936
labeled-data\sesh_21-05-31_111833_synced_Cam3\img417.png,150.43424960689538,240.79986605322927,323.74972337079964,361.00253334109834,255.72805893657926,185.82345233242097
labeled-data\sesh_21-05-31_111833_synced_Cam3\img453.png,135.52539164871007,525.9317745035233,335.86317046182523,599.5442606720634,273.4323277619243,589.2944208258109
labeled-data\sesh_21-05-31_111833_synced_Cam3\img459.png,142.0480170054161,526.86357812591,391.77138780502025,590.2262244481975,274.3641313843108,591.1580280705841
labeled-data\sesh_21-05-31_111833_synced_Cam4\img000.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam4\img012.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam4\img050.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam4\img285.png,275.2959350066975,330.2530138023411,324.68152699318637,215.6411682487916,320.9543125036399,161.5965581503698
labeled-data\sesh_21-05-31_111833_synced_Cam4\img299.png,308.84086541261433,99.16571545046884,306.0454545454546,322.79858482324846,343.3175994409179,128.05162774445284
labeled-data\sesh_21-05-31_111833_synced_Cam4\img336.png,281.81856036340344,222.16379360549763,296.72741832158874,197.00509580105995,387.1123696930873,223.09559722788418
labeled-data\sesh_21-05-31_111833_synced_Cam4\img365.png,308.84086541261433,90.77948284898957,352.63563566478376,273.41299283675966,306.97725816784134,347.02547900529964
labeled-data\sesh_21-05-31_111833_synced_Cam4\img378.png,279.95495311863044,286.4582435501718,342.3857958185314,160.66475452798318,351.70383204239727,179.3008269757148
labeled-data\sesh_21-05-31_111833_synced_Cam4\img383.png,319.0907052588667,134.5742531011589,354.499242909557,178.36902335332832,363.81727913342286,259.4359385009609
labeled-data\sesh_21-05-31_111833_synced_Cam4\img447.png,228.70575388736836,496.1140585871527,394.56679867217997,373.11598043212393,374.9989226020617,487.7278259856735
